canonical_name,transfermarkt_id,n_players,n_players_pool,market_value_total,market_value_avg,avg_age,top_player,top_player_value,pct_top5_leagues
Spain,3375,26,39,1439000000.0,55346153.85,24.54,Lamine Yamal,180000000.0,0.9615
France,3377,26,38,1404000000.0,54000000.0,24.31,Kylian Mbappé,160000000.0,0.8846
England,3299,26,39,1687000000.0,64884615.38,24.77,Jude Bellingham,180000000.0,0.9615
Portugal,3300,26,31,1081000000.0,41576923.08,25.31,Rúben Dias,75000000.0,0.6154
Netherlands,3379,26,38,986000000.0,37923076.92,24.5,Xavi Simons,80000000.0,0.9231
Germany,3262,26,44,963000000.0,37038461.54,25.62,Jamal Musiala,140000000.0,0.9615
Croatia,3556,26,34,348500000.0,13403846.15,25.85,Josko Gvardiol,75000000.0,0.7692
Belgium,3382,26,35,579500000.0,22288461.54,25.31,Jérémy Doku,60000000.0,0.8077
Switzerland,3384,26,40,305000000.0,11730769.23,25.31,Gregor Kobel,40000000.0,0.7692
Austria,3383,26,38,265500000.0,10211538.46,26.46,Xaver Schlager,28000000.0,0.7308
Norway,3440,26,38,562800000.0,21646153.85,24.42,Erling Haaland,200000000.0,0.6538
Turkey,3381,26,39,386600000.0,14869230.77,24.92,Arda Güler,45000000.0,0.3462
Sweden,3557,26,44,384500000.0,14788461.54,24.08,Alexander Isak,75000000.0,0.6538
Scotland,3380,26,40,264500000.0,10173076.92,25.31,Scott McTominay,40000000.0,0.5
Czech Republic,3445,26,46,201000000.0,7730769.23,25.08,Tomáš Souček,24000000.0,0.3846
Bosnia and Herzegovina,3446,26,36,112100000.0,4311538.46,25.46,Ermedin Demirovic,28000000.0,0.2308
Argentina,3437,26,44,859000000.0,33038461.54,25.54,Lautaro Martínez,100000000.0,0.7692
Brazil,3439,26,54,1347000000.0,51807692.31,24.62,Vinicius Junior,200000000.0,0.8846
Colombia,3816,26,40,361300000.0,13896153.85,25.69,Luis Díaz,85000000.0,0.3077
Uruguay,3449,26,40,558000000.0,21461538.46,25.65,Federico Valverde,130000000.0,0.3077
Ecuador,5750,26,36,282700000.0,10873076.92,23.85,Moisés Caicedo,80000000.0,0.1923
Paraguay,3581,26,37,146200000.0,5623076.92,26.65,Julio Enciso,22000000.0,0.1923
Mexico,6303,26,46,236000000.0,9076923.08,25.69,Santiago Gimenez,37000000.0,0.1154
United States,3505,26,60,375500000.0,14442307.69,23.65,Christian Pulisic,50000000.0,0.5385
Canada,3510,26,36,195100000.0,7503846.15,25.15,Alphonso Davies,50000000.0,0.2692
Panama,3577,26,50,34975000.0,1345192.31,27.04,Amir Murillo,7000000.0,0.0
Haiti,14161,26,33,43700000.0,1680769.23,26.77,Jean-Ricner Bellegarde,18000000.0,0.1154
Curaçao,32364,26,32,33600000.0,1292307.69,26.73,Tahith Chong,6000000.0,0.0
Morocco,3575,26,79,448500000.0,17250000.0,25.08,Achraf Hakimi,60000000.0,0.5769
Senegal,3499,26,37,342000000.0,13153846.15,24.58,Nicolas Jackson,55000000.0,0.6538
Algeria,3614,26,83,237800000.0,9146153.85,25.81,Rayan Aït-Nouri,35000000.0,0.4231
Egypt,3672,26,59,164900000.0,6342307.69,28.19,Omar Marmoush,60000000.0,0.1538
Tunisia,3670,26,51,76450000.0,2940384.62,26.5,Ellyes Skhiri,9000000.0,0.1923
Ivory Coast,3591,26,44,365000000.0,14038461.54,25.27,Ousmane Diomande,40000000.0,0.5
Ghana,3441,26,45,276900000.0,10650000.0,24.62,Mohammed Kudus,50000000.0,0.5769
Cape Verde,4311,26,44,46250000.0,1778846.15,26.62,Logan Costa,15000000.0,0.0385
DR Congo,3854,26,38,174700000.0,6719230.77,26.12,Yoane Wissa,28000000.0,0.4231
South Africa,3806,26,59,38900000.0,1496153.85,27.15,Lyle Foster,9000000.0,0.0385
Japan,3435,26,69,343000000.0,13192307.69,26.15,Kaoru Mitoma,45000000.0,0.5385
South Korea,3589,26,55,185300000.0,7126923.08,25.92,Min-jae Kim,45000000.0,0.1923
Iran,3582,26,51,51550000.0,1982692.31,27.42,Mehdi Taremi,8000000.0,0.0
Australia,3433,26,51,46100000.0,1773076.92,25.85,Alessandro Circati,8500000.0,0.1538
Saudi Arabia,3807,26,49,31550000.0,1213461.54,25.73,Firas Al-Buraikan,5000000.0,0.0385
Qatar,14162,26,51,25100000.0,965384.62,28.04,Akram Afif,7500000.0,0.0
Uzbekistan,3563,26,44,51400000.0,1976923.08,26.69,Abdukodir Khusanov,12000000.0,0.0385
Jordan,15737,26,28,15925000.0,612500.0,26.46,Mousa Tamari,6000000.0,0.0385
Iraq,3560,26,48,18050000.0,694230.77,25.12,Ali Al-Hamadi,2500000.0,0.0
New Zealand,9171,26,36,26050000.0,1001923.08,25.65,Chris Wood,7000000.0,0.0385
